brand,model,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_year_only
5,578,1,2020,1,1493.0,68421.0,1,811000,15439.0,0.0,1,2020.0
12,434,1,2021,3,1199.0,8119.0,1,858000,16331.0,0.0,1,2021.0
8,319,0,2019,3,1451.0,8797.0,1,1338000,25471.0,0.0,0,2019.0
7,71,1,2017,3,1197.0,32348.0,1,476000,9306.0,0.0,0,2017.0
2,137,1,2017,3,1497.0,115810.0,1,583000,12969.0,0.0,0,2017.0
6,758,1,2020,3,1197.0,40924.0,1,681000,13314.0,0.0,0,2020.0
7,71,1,2016,3,1197.0,33099.0,1,473000,9247.0,0.0,0,2016.0
8,313,0,2020,3,1451.0,66590.0,1,1269000,24154.0,0.0,0,2020.0
3,162,1,2020,3,1497.0,80554.0,2,968000,18425.0,0.0,1,2020.0
5,545,0,2019,1,1493.0,51955.0,1,1266000,27519.0,0.0,0,2019.0
3,180,0,2016,3,1591.0,61059.0,3,715000,13987.0,0.0,1,2016.0
12,448,1,2023,3,1199.0,24415.0,1,969000,18444.0,0.0,1,2023.0
7,199,1,2018,3,1197.0,65268.0,1,509000,9959.0,0.0,0,2018.0
7,611,1,2012,3,1197.0,34096.0,1,256000,8503.0,0.0,0,2012.0
7,611,1,2022,3,1197.0,35230.0,1,626000,12238.0,0.0,0,2022.0
13,281,0,2019,3,1197.0,55311.0,2,622000,12160.0,0.0,0,2020.0
3,170,1,2020,3,1497.0,61464.0,1,1172000,22308.0,0.0,0,2020.0
5,558,1,2019,3,1497.0,32251.0,1,1127000,21451.0,0.0,1,2019.0
7,65,0,2022,3,1197.0,27052.0,1,817000,15551.0,0.0,0,2022.0
5,576,1,2022,3,998.0,22078.0,1,958000,18235.0,0.0,1,2022.0
4,152,1,2019,1,1956.0,93467.0,1,930000,20227.0,0.0,0,2020.0
7,619,1,2018,3,1197.0,21574.0,1,630000,12319.0,0.0,0,2018.0
7,20,1,2016,3,796.0,97698.0,2,220000,4298.0,0.0,1,2017.0
6,658,0,2021,3,1997.0,31332.0,1,1318000,25087.0,0.0,0,2021.0
6,658,0,2021,3,1997.0,25411.0,1,1365000,25982.0,0.0,1,2021.0
3,174,0,2019,3,1591.0,69534.0,1,1045000,19891.0,0.0,1,2019.0
3,233,1,2014,3,1197.0,87564.0,1,443000,9854.0,0.0,0,2014.0
2,139,1,2020,3,1197.0,35169.0,1,923000,17568.0,0.0,0,2020.0
3,272,1,2021,0,1197.0,19115.0,1,610000,11933.0,0.0,0,2021.0
7,751,0,2022,3,1197.0,6753.0,1,1294000,24636.0,0.0,0,2022.0
7,76,1,2019,3,1197.0,59602.0,2,563000,11005.0,0.0,1,2019.0
5,558,1,2019,3,1497.0,64349.0,1,1053000,20052.0,0.0,1,2019.0
7,122,1,2022,3,1462.0,35483.0,1,870000,16560.0,0.0,0,2022.0
3,297,1,2018,0,1197.0,87009.0,2,464000,9071.0,0.0,0,2018.0
0,514,1,2021,3,799.0,36150.0,1,314000,6136.0,0.0,0,2021.0
2,39,1,2018,0,1197.0,76942.0,1,512000,10012.0,0.0,1,2018.0
7,725,0,2021,3,1462.0,29125.0,2,829000,15779.0,0.0,0,2021.0
2,132,1,2012,3,1497.0,77380.0,2,293000,9718.0,0.0,1,2012.0
12,665,0,2017,3,1199.0,102235.0,1,374000,8316.0,0.0,0,2018.0
3,162,1,2020,3,1497.0,14693.0,1,1124000,21392.0,0.0,0,2020.0
10,195,1,2021,3,1330.0,50108.0,1,929000,17692.0,0.0,0,2021.0
3,158,1,2019,3,1591.0,17333.0,1,886000,16864.0,0.0,1,2019.0
3,177,1,2015,3,1591.0,102963.0,3,569000,12650.0,0.0,0,2016.0
1,216,1,2020,1,1498.0,71807.0,2,679000,13279.0,0.0,0,2020.0
12,669,1,2020,3,1199.0,53413.0,1,505000,9881.0,0.0,0,2020.0
7,607,1,2015,3,1197.0,71287.0,2,338000,6613.0,0.0,0,2015.0
10,192,1,2013,3,1598.0,77978.0,3,314000,8281.0,0.0,0,2013.0
6,773,1,2019,1,2179.0,56200.0,1,949000,20629.0,0.0,0,2019.0
7,72,1,2021,3,1197.0,11344.0,1,574000,11230.0,0.0,1,2021.0
7,66,0,2020,3,1197.0,15673.0,1,746000,14594.0,0.0,0,2020.0
10,370,0,2020,3,999.0,45704.0,2,403000,7879.0,0.0,0,2020.0
3,177,1,2016,0,1591.0,84938.0,2,681000,15148.0,0.0,1,2016.0
3,716,0,2020,3,998.0,42349.0,2,1057000,20118.0,0.0,1,2020.0
0,510,1,2018,3,799.0,30684.0,1,231000,4517.0,0.0,0,2018.0
7,725,0,2021,3,1462.0,57060.0,1,808000,15380.0,0.0,0,2021.0
14,488,1,2018,3,999.0,96717.0,2,488000,9532.0,0.0,0,2018.0
3,301,1,2017,3,1197.0,96739.0,1,374000,7312.0,0.0,1,2017.0
3,230,1,2015,3,1197.0,38116.0,1,410000,8016.0,0.0,0,2015.0
7,72,1,2020,3,1197.0,25069.0,1,570000,11148.0,0.0,1,2020.0
5,569,1,2020,3,998.0,37438.0,2,874000,16636.0,0.0,1,2020.0
5,546,0,2019,3,1353.0,49161.0,1,1316000,25049.0,0.0,0,2019.0
12,633,1,2018,3,1199.0,60364.0,1,430000,8407.0,0.0,0,2018.0
7,740,1,2017,0,1197.0,81370.0,1,350000,6846.0,0.0,0,2017.0
12,638,0,2018,3,1199.0,97131.0,1,443000,8661.0,0.0,0,2018.0
6,658,0,2021,3,1997.0,30914.0,1,1340000,25506.0,0.0,0,2021.0
6,772,0,2019,1,2179.0,36660.0,1,1262000,27439.0,0.0,1,2019.0
7,607,1,2017,3,1197.0,55771.0,1,403000,7879.0,0.0,0,2017.0
5,546,0,2019,3,1353.0,24009.0,1,1405000,26742.0,0.0,0,2019.0
1,212,1,2020,1,1498.0,62541.0,1,826000,15720.0,0.0,0,2021.0
3,688,1,2019,3,998.0,17536.0,1,850000,16179.0,0.0,0,2019.0
12,431,1,2022,3,1199.0,21897.0,1,824000,15691.0,0.0,1,2022.0
3,306,1,2015,3,1197.0,96142.0,1,322000,6292.0,0.0,0,2016.0
7,331,0,2021,3,1197.0,38768.0,1,668000,13052.0,0.0,0,2021.0
10,374,1,2021,3,1197.0,32589.0,1,349000,6823.0,0.0,0,2021.0
5,579,1,2022,3,998.0,29811.0,1,1024000,19483.0,0.0,0,2022.0
14,700,0,2018,3,1197.0,106608.0,1,679000,15109.0,0.0,0,2018.0
3,689,1,2021,3,998.0,39415.0,1,886000,16856.0,0.0,0,2021.0
7,330,1,2021,3,1197.0,30314.0,1,592000,11574.0,0.0,1,2022.0
6,653,0,2022,3,1997.0,29045.0,1,1397000,26591.0,0.0,1,2022.0
0,510,1,2021,3,799.0,15680.0,1,304000,5943.0,0.0,1,2021.0
2,133,1,2016,3,1497.0,97885.0,2,551000,10765.0,0.0,1,2016.0
9,384,1,2022,3,999.0,13843.0,1,553000,10812.0,0.0,0,2022.0
0,290,1,2019,3,1198.0,30616.0,1,411000,8043.0,0.0,0,2019.0
7,69,0,2019,3,1197.0,36124.0,1,590000,11535.0,0.0,1,2019.0
2,46,0,2023,3,1199.0,13137.0,1,917000,17454.0,0.0,1,2023.0
12,327,0,2022,1,1956.0,27222.0,1,1765000,33599.0,0.0,1,2022.0
7,117,1,2019,3,1462.0,66068.0,1,663000,12959.0,0.0,1,2019.0
7,740,1,2017,0,998.0,110029.0,1,325000,7229.0,0.0,0,2017.0
7,607,1,2015,3,1197.0,65365.0,1,355000,6947.0,0.0,0,2015.0
